# UAX #9 strong bidi direction (start	end	class, inclusive, hex).
#
# `L` = Bidi_Class L. `R` = Bidi_Class R or AL. Everything else is absent:
# EN/AN digits, whitespace, the neutrals and the explicit formatting controls
# have no strong direction of their own, which is what `strong_dir` returns for
# a code point this table does not cover.
#
# `strong_dir` previously resolved direction from a five-name script list, so
# 1,786 of 3,018 assigned R/AL code points were bidi-neutral to disarm while
# reordering normally on screen (#773).
#
# Unicode 17.0.0, generated by CPython 3.15.0a1.
# Regenerate: uv run --python 3.15 python scripts/gen_bidi_ranges.py
1681	169A	L
16A0	16F8	L
1700	1711	L
1715	1715	L
171F	1731	L
1734	1736	L
1740	1751	L
1760	176C	L
176E	1770	L
1780	17B3	L
17B6	17B6	L
17BE	17C5	L
17C7	17C8	L
17D4	17DA	L
17DC	17DC	L
17E0	17E9	L
1810	1819	L
1820	1878	L
1880	1884	L
1887	18A8	L
18AA	18AA	L
18B0	18F5	L
1900	191E	L
1923	1926	L
1929	192B	L
1930	1931	L
1933	1938	L
1946	196D	L
1970	1974	L
1980	19AB	L
19B0	19C9	L
19D0	19DA	L
1A00	1A16	L
1A19	1A1A	L
1A1E	1A55	L
1A57	1A57	L
1A61	1A61	L
1A63	1A64	L
1A6D	1A72	L
1A80	1A89	L
1A90	1A99	L
1AA0	1AAD	L
1B04	1B33	L
1B35	1B35	L
1B3B	1B3B	L
1B3D	1B41	L
1B43	1B4C	L
1B4E	1B6A	L
1B74	1B7F	L
1B82	1BA1	L
1BA6	1BA7	L
1BAA	1BAA	L
1BAE	1BE5	L
1BE7	1BE7	L
1BEA	1BEC	L
1BEE	1BEE	L
1BF2	1BF3	L
1BFC	1C2B	L
1C34	1C35	L
1C3B	1C49	L
1C4D	1C8A	L
1C90	1CBA	L
1CBD	1CC7	L
1CD3	1CD3	L
1CE1	1CE1	L
1CE9	1CEC	L
1CEE	1CF3	L
1CF5	1CF7	L
1CFA	1CFA	L
1D00	1DBF	L
1E00	1F15	L
1F18	1F1D	L
1F20	1F45	L
1F48	1F4D	L
1F50	1F57	L
1F59	1F59	L
1F5B	1F5B	L
1F5D	1F5D	L
1F5F	1F7D	L
1F80	1FB4	L
1FB6	1FBC	L
1FBE	1FBE	L
1FC2	1FC4	L
1FC6	1FCC	L
1FD0	1FD3	L
1FD6	1FDB	L
1FE0	1FEC	L
1FF2	1FF4	L
1FF6	1FFC	L
200E	200E	L
200F	200F	R
2071	2071	L
207F	207F	L
2090	209C	L
2102	2102	L
2107	2107	L
210A	2113	L
2115	2115	L
2119	211D	L
2124	2124	L
2126	2126	L
2128	2128	L
212A	212D	L
212F	2139	L
213C	213F	L
2145	2149	L
214E	214F	L
2160	2188	L
2336	237A	L
2395	2395	L
249C	24E9	L
26AC	26AC	L
2800	28FF	L
2C00	2CE4	L
2CEB	2CEE	L
2CF2	2CF3	L
2D00	2D25	L
2D27	2D27	L
2D2D	2D2D	L
2D30	2D67	L
2D6F	2D70	L
2D80	2D96	L
2DA0	2DA6	L
2DA8	2DAE	L
2DB0	2DB6	L
2DB8	2DBE	L
2DC0	2DC6	L
2DC8	2DCE	L
2DD0	2DD6	L
2DD8	2DDE	L
3005	3007	L
3021	3029	L
302E	302F	L
3031	3035	L
3038	303C	L
3041	3096	L
309D	309F	L
30A1	30FA	L
30FC	30FF	L
3105	312F	L
3131	318E	L
3190	31BF	L
31F0	321C	L
3220	324F	L
3260	327B	L
327F	32B0	L
32C0	32CB	L
32D0	3376	L
337B	33DD	L
33E0	33FE	L
3400	4DBF	L
4E00	A48C	L
A4D0	A60C	L
A610	A62B	L
A640	A66E	L
A680	A69D	L
A6A0	A6EF	L
A6F2	A6F7	L
A722	A787	L
A789	A7DC	L
A7F1	A801	L
A803	A805	L
A807	A80A	L
A80C	A824	L
A827	A827	L
A830	A837	L
A840	A873	L
A880	A8C3	L
A8CE	A8D9	L
A8F2	A8FE	L
A900	A925	L
A92E	A946	L
A952	A953	L
A95F	A97C	L
A983	A9B2	L
A9B4	A9B5	L
A9BA	A9BB	L
A9BE	A9CD	L
A9CF	A9D9	L
A9DE	A9E4	L
A9E6	A9FE	L
AA00	AA28	L
AA2F	AA30	L
AA33	AA34	L
AA40	AA42	L
AA44	AA4B	L
AA4D	AA4D	L
AA50	AA59	L
AA5C	AA7B	L
AA7D	AAAF	L
AAB1	AAB1	L
AAB5	AAB6	L
AAB9	AABD	L
AAC0	AAC0	L
AAC2	AAC2	L
AADB	AAEB	L
AAEE	AAF5	L
AB01	AB06	L
AB09	AB0E	L
AB11	AB16	L
AB20	AB26	L
AB28	AB2E	L
AB30	AB69	L
AB70	ABE4	L
ABE6	ABE7	L
ABE9	ABEC	L
ABF0	ABF9	L
AC00	D7A3	L
D7B0	D7C6	L
D7CB	D7FB	L
E000	FA6D	L
FA70	FAD9	L
FB00	FB06	L
FB13	FB17	L
FB1D	FB1D	R
FB1F	FB28	R
FB2A	FB36	R
FB38	FB3C	R
FB3E	FB3E	R
FB40	FB41	R
FB43	FB44	R
FB46	FBC2	R
FBD3	FD3D	R
FD50	FD8F	R
FD92	FDC7	R
FDF0	FDFC	R
FE70	FE74	R
FE76	FEFC	R
FF21	FF3A	L
FF41	FF5A	L
FF66	FFBE	L
FFC2	FFC7	L
FFCA	FFCF	L
FFD2	FFD7	L
FFDA	FFDC	L
10000	1000B	L
1000D	10026	L
10028	1003A	L
1003C	1003D	L
1003F	1004D	L
10050	1005D	L
10080	100FA	L
10100	10100	L
10102	10102	L
10107	10133	L
10137	1013F	L
1018D	1018E	L
101D0	101FC	L
10280	1029C	L
102A0	102D0	L
10300	10323	L
1032D	1034A	L
10350	10375	L
10380	1039D	L
1039F	103C3	L
103C8	103D5	L
10400	1049D	L
104A0	104A9	L
104B0	104D3	L
104D8	104FB	L
10500	10527	L
10530	10563	L
1056F	1057A	L
1057C	1058A	L
1058C	10592	L
10594	10595	L
10597	105A1	L
105A3	105B1	L
105B3	105B9	L
105BB	105BC	L
105C0	105F3	L
10600	10736	L
10740	10755	L
10760	10767	L
10780	10785	L
10787	107B0	L
107B2	107BA	L
10800	10805	R
10808	10808	R
1080A	10835	R
10837	10838	R
1083C	1083C	R
1083F	10855	R
10857	1089E	R
108A7	108AF	R
108E0	108F2	R
108F4	108F5	R
108FB	1091B	R
10920	10939	R
1093F	10959	R
10980	109B7	R
109BC	109CF	R
109D2	10A00	R
10A10	10A13	R
10A15	10A17	R
10A19	10A35	R
10A40	10A48	R
10A50	10A58	R
10A60	10A9F	R
10AC0	10AE4	R
10AEB	10AF6	R
10B00	10B35	R
10B40	10B55	R
10B58	10B72	R
10B78	10B91	R
10B99	10B9C	R
10BA9	10BAF	R
10C00	10C48	R
10C80	10CB2	R
10CC0	10CF2	R
10CFA	10D23	R
10D4A	10D65	R
10D6F	10D85	R
10D8E	10D8F	R
10E80	10EA9	R
10EAD	10EAD	R
10EB0	10EB1	R
10EC2	10EC7	R
10F00	10F27	R
10F30	10F45	R
10F51	10F59	R
10F70	10F81	R
10F86	10F89	R
10FB0	10FCB	R
10FE0	10FF6	R
11000	11000	L
11002	11037	L
11047	1104D	L
11066	1106F	L
11071	11072	L
11075	11075	L
11082	110B2	L
110B7	110B8	L
110BB	110C1	L
110CD	110CD	L
110D0	110E8	L
110F0	110F9	L
11103	11126	L
1112C	1112C	L
11136	11147	L
11150	11172	L
11174	11176	L
11182	111B5	L
111BF	111C8	L
111CD	111CE	L
111D0	111DF	L
111E1	111F4	L
11200	11211	L
11213	1122E	L
11232	11233	L
11235	11235	L
11238	1123D	L
1123F	11240	L
11280	11286	L
11288	11288	L
1128A	1128D	L
1128F	1129D	L
1129F	112A9	L
112B0	112DE	L
112E0	112E2	L
112F0	112F9	L
11302	11303	L
11305	1130C	L
1130F	11310	L
11313	11328	L
1132A	11330	L
11332	11333	L
11335	11339	L
1133D	1133F	L
11341	11344	L
11347	11348	L
1134B	1134D	L
11350	11350	L
11357	11357	L
1135D	11363	L
11380	11389	L
1138B	1138B	L
1138E	1138E	L
11390	113B5	L
113B7	113BA	L
113C2	113C2	L
113C5	113C5	L
113C7	113CA	L
113CC	113CD	L
113CF	113CF	L
113D1	113D1	L
113D3	113D5	L
113D7	113D8	L
11400	11437	L
11440	11441	L
11445	11445	L
11447	1145B	L
1145D	1145D	L
1145F	11461	L
11480	114B2	L
114B9	114B9	L
114BB	114BE	L
114C1	114C1	L
114C4	114C7	L
114D0	114D9	L
